age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
0,State-gov,0,Bachelors,3,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,1,India,>50K
1,Private,0,Assoc-voc,2,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,1,?,>50K
0,Private,0,7th-8th,0,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,1,Mexico,<=50K
2,Private,0,HS-grad,2,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
1,Self-emp-not-inc,0,Assoc-acdm,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K
1,Self-emp-not-inc,0,Bachelors,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,1,United-States,<=50K
1,Self-emp-inc,0,HS-grad,2,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,0,HS-grad,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,1,United-States,<=50K
1,Private,0,Bachelors,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,Cuba,<=50K
0,Local-gov,0,Bachelors,3,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,1,United-States,>50K
1,Private,0,Bachelors,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
0,Private,0,HS-grad,2,Never-married,Craft-repair,Not-in-family,White,Male,0,0,1,United-States,<=50K
0,Private,0,Some-college,2,Married-civ-spouse,Sales,Wife,White,Female,0,0,0,United-States,<=50K
1,Private,0,HS-grad,2,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,1,United-States,<=50K
1,Private,0,9th,1,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,1,United-States,<=50K
1,Private,0,Bachelors,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,0,HS-grad,2,Never-married,Other-service,Not-in-family,White,Female,0,1,1,United-States,<=50K
