age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,class
1,Local-gov,0,Some-college,2,Widowed,Prof-specialty,Unmarried,White,Male,0,0,1,United-States,<=50K
2,Private,0,Bachelors,3,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,>50K
3,Private,0,Some-college,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1,1,United-States,>50K
1,Private,0,Masters,3,Separated,Exec-managerial,Not-in-family,White,Male,3,0,1,United-States,>50K
0,Private,0,7th-8th,0,Married-civ-spouse,Sales,Husband,White,Male,0,0,1,United-States,<=50K
0,Self-emp-not-inc,0,11th,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,<=50K
1,Private,0,Assoc-acdm,2,Married-civ-spouse,Sales,Husband,White,Male,0,1,1,United-States,>50K
0,Private,1,HS-grad,2,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,1,United-States,<=50K
1,Self-emp-inc,0,Some-college,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K
0,Federal-gov,0,HS-grad,2,Never-married,Adm-clerical,Own-child,White,Male,0,0,1,United-States,<=50K
1,State-gov,0,Bachelors,3,Divorced,Prof-specialty,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Self-emp-not-inc,0,HS-grad,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,>50K
0,State-gov,0,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,<=50K
1,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1,1,Greece,>50K
0,Private,0,Assoc-acdm,2,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,0,0,United-States,<=50K
0,Private,0,Some-college,2,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Male,0,0,0,India,<=50K
2,Private,0,9th,1,Separated,Craft-repair,Unmarried,White,Male,0,0,1,United-States,<=50K
1,Self-emp-inc,0,HS-grad,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,>50K
1,Private,0,HS-grad,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1,United-States,>50K
0,Private,1,Assoc-voc,2,Separated,Exec-managerial,Own-child,White,Female,0,0,1,United-States,<=50K
0,Private,0,Some-college,2,Never-married,Handlers-cleaners,Unmarried,Black,Male,0,0,1,United-States,<=50K
0,Private,0,HS-grad,2,Divorced,Craft-repair,Unmarried,White,Female,0,0,1,United-States,<=50K
1,Private,0,HS-grad,2,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,0,11th,1,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
0,Private,0,HS-grad,2,Divorced,Other-service,Not-in-family,White,Female,0,0,1,United-States,<=50K
1,Private,0,10th,1,Divorced,Other-service,Unmarried,White,Female,0,0,0,United-States,<=50K
1,Private,0,HS-grad,2,Divorced,Exec-managerial,Unmarried,White,Male,0,0,1,United-States,<=50K
0,Self-emp-not-inc,0,HS-grad,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,3,United-States,<=50K
